interest,registration,vote_2016,vote_intention,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,state,congress_district,language,vote_biden,age_group,race,education_level,stateicp
Some of the time,Not registered,Donald Trump,"Yes, I already voted",Moderate,Full-time employed,The United States,male,West,not hispanic,White,"$100,000 to $149,999",NV,NV03,"No, we speak only English.",0,age_30-44,white,Graduate degree,nevada
Some of the time,Not registered,Hillary Clinton,"Yes, I already voted",Moderate,Full-time employed,The United States,female,Northeast,not hispanic,White,"Less than $50,000",PA,PA15,"No, we speak only English.",1,age_18-29,white,High school or less,pennsylvania
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Liberal,Full-time employed,The United States,female,Northeast,not hispanic,White,"$150,000 to $199,999",NY,NY10,"No, we speak only English.",1,age_30-44,white,Post secondary or higher,new york
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Retired,Another country,female,West,not hispanic,Some other race,"Less than $50,000",CA,CA42,"No, we speak only English.",1,age_60_or_more,"other race, nec",Graduate degree,california
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Not Sure,Full-time employed,The United States,female,Midwest,not hispanic,White,"$100,000 to $149,999",KS,KS03,"No, we speak only English.",0,age_45-59,white,Some post secondary,kansas
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Moderate,Retired,The United States,female,Midwest,not hispanic,White,"Less than $50,000",IL,IL02,"No, we speak only English.",1,age_45-59,white,Post secondary or higher,illinois
Some of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,The United States,male,Northeast,not hispanic,White,"Less than $50,000",CT,CT03,"No, we speak only English.",0,age_18-29,white,Some post secondary,connecticut
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Part-time employed,The United States,female,Midwest,hispanic,White,"Less than $50,000",IL,IL08,"Yes, we speak a language other than Spanish or English.",0,age_60_or_more,white,High school or less,illinois
Most of the time,Registered,Donald Trump,"Yes, I will vote",Moderate,Full-time employed,The United States,female,Midwest,not hispanic,White,"$50,000 to $99,999",MO,MO02,"No, we speak only English.",1,age_45-59,white,Post secondary or higher,missouri
Most of the time,Registered,Donald Trump,"Yes, I will vote",Conservative,Full-time employed,The United States,male,South,hispanic,White,"$100,000 to $149,999",FL,FL17,"Yes, we speak a language other than Spanish or English.",0,age_30-44,white,Post secondary or higher,florida
Most of the time,Registered,Donald Trump,"Yes, I will vote",Very Conservative,Retired,The United States,female,Midwest,not hispanic,White,"$100,000 to $149,999",OH,OH16,"No, we speak only English.",0,age_60_or_more,white,Post secondary or higher,ohio
